Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,194.0336981,TRUE,2,10,93,1,4.90569,52.41772
Amsterdam,344.245776,TRUE,4,8,85,1,4.90005,52.37432
Amsterdam,264.1014224,TRUE,2,9,87,1,4.97512,52.36103
Amsterdam,433.529398,TRUE,4,9,90,2,4.89417,52.37663
Amsterdam,485.5529257,TRUE,2,10,98,1,4.90051,52.37508
Amsterdam,552.8085675,TRUE,3,8,100,2,4.87699,52.38966
Amsterdam,215.1243175,TRUE,2,10,94,1,4.9157,52.38296
Amsterdam,2771.307384,FALSE,4,10,100,3,4.88467,52.38749
Amsterdam,1001.80442,FALSE,4,9,96,2,4.86459,52.40175
Amsterdam,276.5214538,TRUE,2,10,88,1,4.876,52.347
Amsterdam,909.4743749,FALSE,2,10,96,1,4.87956,52.36953
Amsterdam,319.6400534,TRUE,2,10,97,1,4.92496,52.37107
Amsterdam,675.6028402,FALSE,4,8,87,1,4.88934,52.34697
Amsterdam,552.8085675,FALSE,2,10,100,1,4.87417,52.37509
Amsterdam,209.0314719,TRUE,2,8,96,1,4.99679,52.35645
Amsterdam,368.8514986,TRUE,2,10,98,1,4.90809,52.37455
Amsterdam,368.8514986,TRUE,2,10,90,1,4.88971,52.36148
Amsterdam,337.9185902,TRUE,2,10,97,1,4.88368,52.36239
Amsterdam,313.5472078,TRUE,2,10,96,1,4.8839,52.3631
Amsterdam,447.5898109,FALSE,2,9,93,1,4.87757,52.37336
Amsterdam,243.2451433,TRUE,2,10,96,1,4.85206,52.36734
Amsterdam,933.8457573,FALSE,4,10,96,2,4.89088,52.36422
Amsterdam,251.9157313,TRUE,2,10,97,1,4.88642,52.38367
Amsterdam,377.2877464,TRUE,2,10,98,1,4.88799,52.38325
Amsterdam,245.5885455,TRUE,2,10,96,1,4.89595,52.41122
Amsterdam,217.7020599,TRUE,2,8,93,1,4.89375,52.41081
Amsterdam,295.0343308,TRUE,2,10,95,1,4.895,52.343
Amsterdam,295.0343308,TRUE,2,10,94,1,4.84631,52.34966
Amsterdam,1032.971668,FALSE,4,9,96,2,4.92432,52.37676
Amsterdam,270.4286083,TRUE,4,10,98,1,4.82174,52.37781
Amsterdam,524.6877417,FALSE,2,9,89,1,4.87657,52.37288
Amsterdam,599.6766105,FALSE,4,9,94,3,4.90806,52.34442
Amsterdam,516.0171537,FALSE,4,9,100,2,4.88881,52.36397
Amsterdam,602.2543529,FALSE,3,10,100,2,4.86021,52.34502
Amsterdam,504.0658027,FALSE,4,9,94,2,4.94798,52.38786
Amsterdam,1609.917278,FALSE,6,10,96,3,4.86225,52.35413
Amsterdam,310.9694655,FALSE,2,9,94,0,4.92058,52.33997
Amsterdam,202.7042861,TRUE,2,10,94,1,4.885,52.42343
Amsterdam,796.288051,FALSE,4,10,94,2,4.8588,52.35848
Amsterdam,504.0658027,TRUE,2,9,96,1,4.98597,52.36376
Amsterdam,319.6400534,TRUE,2,10,95,1,4.90032,52.37525
Amsterdam,614.4400441,TRUE,4,9,96,1,4.89969,52.37513
Amsterdam,467.0400487,TRUE,3,10,94,1,4.90027,52.37469
Amsterdam,716.3780376,FALSE,5,10,96,2,4.841,52.38253
Amsterdam,350.1042814,TRUE,2,10,91,0,4.88774,52.38254
Amsterdam,319.6400534,TRUE,2,10,97,1,4.89831,52.37457
Amsterdam,467.0400487,TRUE,3,10,96,1,4.90002,52.37341
Amsterdam,983.2915427,FALSE,3,10,100,2,4.87317,52.36917
Amsterdam,298.7837743,TRUE,2,9,94,0,4.93986,52.34829
Amsterdam,196.6114405,TRUE,4,9,94,1,4.96617,52.40648
Amsterdam,430.248635,FALSE,2,10,96,1,4.84941,52.37788
Amsterdam,319.6400534,TRUE,2,9,95,1,4.89843,52.3734
Amsterdam,405.6429124,TRUE,4,9,98,1,4.82115,52.38375
Amsterdam,334.1691468,TRUE,2,10,97,1,4.881,52.366
Amsterdam,491.8801115,TRUE,2,9,98,1,4.89861,52.37326
Amsterdam,319.6400534,TRUE,2,9,95,1,4.89837,52.37355
Amsterdam,780.3529164,TRUE,4,10,100,5,4.91319,52.37075
Amsterdam,355.0254259,FALSE,2,9,90,1,4.91113,52.36575
Amsterdam,1044.688679,FALSE,4,10,98,2,4.9075,52.36296
Amsterdam,847.8428983,FALSE,4,10,98,3,4.87652,52.36806
Amsterdam,373.7726431,TRUE,2,10,98,1,4.884,52.38
Amsterdam,613.268343,FALSE,4,9,84,1,4.89248,52.37524
Amsterdam,238.3239988,TRUE,2,10,98,1,4.97698,52.36234
Amsterdam,430.248635,FALSE,2,10,97,1,4.85087,52.38181
Amsterdam,347.9952195,FALSE,3,6,77,2,4.84034,52.35015
Amsterdam,330.4197033,FALSE,2,10,98,1,4.85619,52.3778
Amsterdam,1179.668643,FALSE,4,10,99,2,4.88428,52.37163
Amsterdam,259.1802779,TRUE,2,10,98,1,4.859,52.331
Amsterdam,277.9274951,TRUE,2,10,97,1,4.94543,52.36055
Amsterdam,467.0400487,FALSE,3,9,96,2,4.85835,52.37612
Amsterdam,583.7414759,FALSE,2,10,99,1,4.87162,52.39226
Amsterdam,374.9443442,TRUE,4,6,88,1,4.89075,52.3816
Amsterdam,372.3666018,TRUE,2,10,97,1,4.86119,52.3442
Amsterdam,479.2257399,FALSE,2,10,96,1,4.89,52.361
Amsterdam,454.8543576,FALSE,2,10,98,1,4.87652,52.39109
Amsterdam,206.4537295,TRUE,2,9,95,1,4.79837,52.35413
Amsterdam,497.7386169,TRUE,2,10,95,1,4.88712,52.38237
Amsterdam,399.5500668,FALSE,2,10,97,1,4.98057,52.30865
Amsterdam,761.8400394,TRUE,4,9,93,2,4.87953,52.37845
Amsterdam,317.0623111,TRUE,2,8,90,1,4.86247,52.38767
Amsterdam,319.4057132,TRUE,2,10,96,1,4.89344,52.3764
Amsterdam,209.0314719,TRUE,2,10,97,1,4.96166,52.36943
Amsterdam,209.0314719,TRUE,2,10,98,1,4.9604,52.36854
Amsterdam,640.4518079,FALSE,2,9,96,1,4.89663,52.35781
Amsterdam,209.0314719,TRUE,2,10,98,1,4.96173,52.37003
Amsterdam,934.0800975,TRUE,4,10,96,1,4.90714,52.36799
Amsterdam,210.203173,TRUE,2,9,88,1,4.85743,52.37769
Amsterdam,221.2171631,TRUE,2,9,94,1,4.80823,52.3569
Amsterdam,441.2626251,TRUE,2,10,91,1,4.88958,52.38002
Amsterdam,325.4985588,TRUE,2,8,80,1,4.88956,52.38126
Amsterdam,792.7729478,FALSE,4,10,97,2,4.80772,52.36412
Amsterdam,213.9526164,TRUE,2,10,93,1,4.94459,52.3186
Amsterdam,1557.19073,FALSE,4,9,98,2,4.88228,52.37451
Amsterdam,317.0623111,TRUE,2,10,99,1,4.91,52.402
Amsterdam,319.6400534,FALSE,2,10,95,1,4.90258,52.3432
Amsterdam,1044.688679,FALSE,2,10,98,1,4.93297,52.3617
Amsterdam,310.9694655,FALSE,2,9,94,1,4.94479,52.3678
Amsterdam,295.0343308,FALSE,2,9,92,1,4.89443,52.41516
Amsterdam,344.245776,FALSE,2,7,82,0,4.91979,52.33963
Amsterdam,3004.944579,FALSE,4,9,95,4,4.88478,52.38683
Amsterdam,539.216835,FALSE,2,10,98,1,4.90733,52.34038
Amsterdam,460.9472031,TRUE,2,10,98,1,4.888,52.369
Amsterdam,1376.514424,FALSE,4,10,93,2,4.88707,52.39019
Amsterdam,415.4852014,FALSE,4,10,98,1,4.92022,52.41538
Amsterdam,215.1243175,TRUE,2,10,95,1,4.94593,52.37431
Amsterdam,393.4572212,TRUE,2,10,97,1,4.90441,52.36167
Amsterdam,232.2311532,TRUE,2,10,97,0,4.91,52.405
Amsterdam,774.2600708,FALSE,2,10,100,1,4.89575,52.35704
Amsterdam,291.0505472,TRUE,2,9,90,1,4.89496,52.379
Amsterdam,604.597755,FALSE,4,10,95,1,4.90042,52.35691
Amsterdam,467.0400487,FALSE,2,10,97,1,4.87254,52.37197
Amsterdam,744.4988634,FALSE,2,10,92,0,4.86068,52.35961
Amsterdam,250.7440302,TRUE,2,10,94,1,4.8684,52.36252
Amsterdam,544.1379795,TRUE,4,10,97,2,4.86873,52.37932
