address,category,id,lat,lng,location,name,subCategory,details,reviews
Everywhere,poi,29136,52.342692,4.820444,Amsterdam,Herr Weyers Little Tank,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=29136,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29136
Jacob Marisstraat,poi,29223,52.35633866,4.852609634,Amsterdam,Jacob Marisstraat,Road,http://tour-pedia.org/api/getPlaceDetails?id=29223,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29223
Jaagpad,poi,29236,52.33892011,4.846853614,Amsterdam,Nieuwe Meersluis (Schinkelsluis),Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=29236,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29236
Contactweg 36,poi,29393,52.390966,4.856706,Amsterdam,Super Dure Kantine,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=29393,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29393
Museumstraat,poi,29640,52.36000798,4.885246754,Amsterdam,Onderdoorgang Rijksmuseum,Road,http://tour-pedia.org/api/getPlaceDetails?id=29640,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29640
Tasmanstraat,poi,29727,52.39310978,4.886405468,Amsterdam,Houthavenveer naar NDSM-Terrein,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=29727,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29727
Westerstraat,poi,29760,52.37862442,4.885450322,Amsterdam,Westerstraat,Road,http://tour-pedia.org/api/getPlaceDetails?id=29760,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29760
Silodam,poi,29875,52.39005869,4.891319275,Amsterdam,Strekdam Silodam,Road,http://tour-pedia.org/api/getPlaceDetails?id=29875,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29875
Weteringcircuit,poi,30110,52.35948121,4.891538798,Amsterdam,Tramhalte Weteringcircuit,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=30110,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30110
Nieuwendammerdijk,poi,30457,52.39164046,4.93491219,Amsterdam,Nieuwendammerdijk,Road,http://tour-pedia.org/api/getPlaceDetails?id=30457,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30457
Oosterdok 2,poi,30462,52.372334,4.914209247,Amsterdam,VOC Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=30462,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30462
,poi,30804,52.37211456,4.947967529,Amsterdam,Scheepstimmermanstraat,Road,http://tour-pedia.org/api/getPlaceDetails?id=30804,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30804
Moving Target!,poi,31046,52.35048023,5.004572868,Amsterdam,Tram 26 IJburg - Centraal Station,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31046,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31046
IJburglaan,poi,31047,52.35535147,4.995696684,Amsterdam,Halte Diemerparklaan,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31047,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31047
IJburglaan,poi,31048,52.35775401,4.990539551,Amsterdam,Tramhalte Vennepluimstraat,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31048,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31048
Ruisrietstraat,poi,31049,52.35293327,4.99979712,Amsterdam,Tram- en Bushalte Ruisrietstraat,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31049,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31049
IJburglaan,poi,31050,52.35088654,5.004315376,Amsterdam,Tramhalte IJburg,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31050,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31050
IJburg,poi,31051,52.35639287,4.996571987,Amsterdam,Erich Salomonstraat,Road,http://tour-pedia.org/api/getPlaceDetails?id=31051,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31051
,poi,31053,52.35687256,4.995892525,Amsterdam,Bushalte Ruiserietstraat,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31053,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31053
,poi,31058,52.357236,4.991208,Amsterdam,Bushalte Vennepluimstraat,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31058,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31058
,poi,31061,52.35788067,4.990385941,Amsterdam,IJburglaan,Road,http://tour-pedia.org/api/getPlaceDetails?id=31061,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31061
,poi,31062,52.358526,4.994276,Amsterdam,Boot Gijs,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31062,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31062
,poi,31063,52.35470568,4.996873742,Amsterdam,Bushalte Diemerparklaan,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31063,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31063
,poi,31065,52.355519,5.000999,Amsterdam,Lumierestraat,Road,http://tour-pedia.org/api/getPlaceDetails?id=31065,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31065
,poi,31068,52.35137193,5.005839921,Amsterdam,Bus 66 IJburg - Bijlmer ArenA,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31068,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31068
Krijn Taconiskade 124,poi,31071,52.353238,5.003428,Amsterdam,Veerdienst Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31071,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31071
,poi,31072,52.354615,5.00539,Amsterdam,Sailboa,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31072,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31072
,poi,31073,52.35318,5.003798,Amsterdam,Rainboa,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31073,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31073
,poi,31074,52.35362624,5.005414419,Amsterdam,Bootje IJburg,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31074,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31074
