category,id,lat,lng,location,name,subCategory,reviews,Cost
accommodation,31052,52.356347,4.997105,Amsterdam,Kos,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31052,159
accommodation,31056,52.35547371,4.993286133,Amsterdam,Hawaijburg,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31056,151
accommodation,31167,52.382517,4.791104,Amsterdam,Perfect House In Amsterdam!,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31167,199
accommodation,31176,52.35027216,4.780607964,Amsterdam,Huize Verel,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31176,121
accommodation,31248,52.38013065,4.80258218,Amsterdam,d' R.C : Dream Academy,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31248,102
accommodation,31251,52.36545,4.79479119,Amsterdam,Pat & San Car,Home private,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31251,162
accommodation,31256,52.35485567,4.792953907,Amsterdam,Rumah RoRo,Home private,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31256,139
accommodation,31262,52.35651815,4.797355192,Amsterdam,Ferrari Fire Force : Working Station,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31262,198
accommodation,31271,52.358589,4.800897,Amsterdam,Lely Guesthouse Hotel Amsterdam,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31271,160
accommodation,31356,52.39434063,4.818899632,Amsterdam,Garage penthouse,Roof Deck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31356,101
accommodation,31371,52.3764764,4.819069387,Amsterdam,B&B Tulip Inn,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31371,179
accommodation,31459,52.38885949,4.824372193,Amsterdam,amsterdam sloterdijlk,Travel  Transport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31459,155
accommodation,31492,52.346762,4.824713,Amsterdam,Halte Louwesweg,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31492,191
accommodation,31541,52.375154,4.83315,Amsterdam,Lavatory SUMA,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31541,128
accommodation,31586,52.34265591,4.830595731,Amsterdam,Henk Sneevlietweg,Home private,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31586,100
accommodation,31602,52.390759,4.837317,Amsterdam,Meininger Room 115,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31602,157
accommodation,31637,52.38655412,4.841246402,Amsterdam,Holiday Inn Sloterdik,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31637,160
accommodation,31665,52.36584279,4.842786513,Amsterdam,14hoog bij Heleen&peter,Strip Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31665,106
accommodation,31671,52.36308818,4.842441632,Amsterdam,Fasion Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31671,134
accommodation,31680,52.34899719,4.84262604,Amsterdam,HEM Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31680,172
accommodation,31712,52.38874,4.83822,Amsterdam,Hotel Ben,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31712,135
accommodation,31720,52.38094431,4.848983148,Amsterdam,Maison Joie de Vivre,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31720,117
accommodation,31724,52.3806797,4.848188079,Amsterdam,Markino's 5 ***** Resort,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31724,150
accommodation,31740,52.369598,4.849492,Amsterdam,Orteliusstraat 184-3,Roof Deck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31740,140
accommodation,31745,52.35744695,4.845471764,Amsterdam,besthotelfordogs.com,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31745,118
accommodation,31748,52.35766014,4.844718812,Amsterdam,Bastion Hotel Amsterdam,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31748,171
accommodation,31821,52.36237967,4.851926034,Amsterdam,Casa Kayzel-Martinez,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31821,134
accommodation,31828,52.35450199,4.853130629,Amsterdam,Bed and Breakfast Amsterdam,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31828,108
