id,source,rating,text
31056,Foursquare,2,In for a swim? Let me know!
31176,Foursquare,8,"Try the food, booze and men. Fabulous for ice skating."
31248,Foursquare,10,Good Dreamz
31248,Foursquare,1,reading my dream
31680,Foursquare,10,...take the tram n.2 and go in 15 mins to the centre ;)
31680,Foursquare,9,free wifi in the rooms : yes wifi in every room: no its too far to some rooms
31680,Foursquare,3,"Clean, confortable and wifi free."
31680,Foursquare,4,The hotel is Ok. Nice snack bar open 24/7. Wifi is free and usually Ok. The neighborhood isn't the nicest and is is not idealy located.
31680,Foursquare,1,The lounge area here is a great place to hang out during lazy days. You can watch TV there or play billiards.
31680,Foursquare,2,The WiFi's free and the rooms are ok. The cafe works 24/7: try homemade tiramisu.
31680,Foursquare,3,"Wi-Fi is completely free (might not have been in the past when the other tips were left); there's no password and then you're presented with a login page where you just have to accept the T&C, simple!"
31680,Foursquare,9,Free wifi in the rooms. And you get BBC 1 and 2
31680,Foursquare,4,No need to set the timer. Housekeeping will wake you up :p
31680,Foursquare,9,Checkin for free wifi
31680,Foursquare,1,Try the dayspecial: Chef Walter is grilling the tuna to perfection!
31680,Foursquare,7,Free Wifi for you as foursquare user. Check in @ Hem Hotel Amsterdam and get 24 hours of free Wifi with your stay.
31680,Foursquare,5,You can use HEM Hotel's Facebook promotion and get 24 hours of free Wifi.
31680,Foursquare,3,There is no free wi-fi over here... Charging 10€/hour is very disappointing
31712,Foursquare,10,very central. warm rooms but no wifi
31724,Foursquare,6,"Check out the amazing swimming-pool and cocktail bar, but most of all the giant roof golf field !"
31748,Foursquare,1,İt is called center but it is not ! Ordinary hotel...
31828,Foursquare,9,Simple but decent b&b - rent bikes for your whole stay to get around town
31839,Foursquare,2,TOPservice!! Klaar terwijl u wacht! En dat om half 8 's avonds. My hero of the day!
31855,Foursquare,8,so rockin with the cheesecake and all
31855,Foursquare,6,Lunch time!
31855,Foursquare,6,Love the view from my office...
31855,Foursquare,10,The new office is great!
31855,Foursquare,4,You should try their toasties! ;)
31855,Foursquare,6,Olery is part of Mapped in World digital map. Join the community
31861,Foursquare,6,"Very good B&B. Friendly people, wonderful accomodation and nearby Amsterdamse bos. On the bike you're in à few minutes in the city centre!!"
31958,Foursquare,1,Enjoy Mediterranean-oriented dishes while admiring views of the river at the Brasserie Flavours.
31983,Foursquare,6,Go stand on the balcony and sing your favorite song out loud!
32019,Foursquare,7,Roof on 10th floor. Nice 360 degree city view.
32043,Foursquare,3,Htel guests only.. you'll find it on the 15th floor...
32043,Foursquare,2,Relax with a cup of Nespresso coffee while enjoying the spectacular view over the city.
32043,Foursquare,6,Relax with a cup of Nespresso coffee while enjoying the spectacular view over the city.
32111,Foursquare,6,The nicest place to sleep in Amsterdam City Centre. Makes you never wanna leave! Book it now!
32207,Foursquare,4,Find your favorite taste of Nespresso in the kitchen.
32259,Foursquare,2,Four levels of pure pleasure like a real amsterdamian!
32274,Foursquare,2,Hummus sandwich at the end and the sausage man at number 187.
32274,Foursquare,2,You can find the best cheeses in town on Saturday!
32274,Foursquare,7,Try the cheese stand with the two grumpy old men around hoyse number 50. They're the most sympathetic and their cheese a steal!
32274,Foursquare,9,Just a very nice entourage: especially when the sun is shining and you are with your friends drinking some wines/beers
32279,Foursquare,2,Very nice hotel with friendly and always helpful staff. Location is excellent - 10 minutes walk from Central Station and quiet rooms facing one of the Amsterdam's channels. Free wifi. Nice jazz bar.
32279,Foursquare,6,The staff are amazing. I 'lost' my camera and they directed us to the police station. They asked how we got on when we got back. Great service here!
32279,Foursquare,3,Very nice hotel with friendly staff. Coffee and tea selection in the room was very nice. Great location.
32279,Foursquare,9,"Very good hotel, honest price and a very comfortable bed. Coffee machine in the bedroom, iPod aplifier with alarm clock, cable tv, etc"
32279,Foursquare,8,Very nice hotel in a very good area
32279,Foursquare,7,Room 337 is a penthouse with good views.
32279,Foursquare,4,Very nice hotel. Also in a good position. Recomended
32279,Foursquare,2,This is the best hotel in Amsterdam!
32296,Foursquare,4,Good location. That's all... It's way too expensive for what it is.
32296,Foursquare,4,"Room clean, wifi Internet connection slow, perfect location"
32296,Foursquare,1,This hotel is more traveller and less business orientated. I do not recommend it
32296,Foursquare,7,The Dam Square is just five minutes walk from here.
32296,Foursquare,2,"Some of the attractions that you can easily visit from here are the Anne Frank House, the Van Gogh Museum, and the Rijksmuseum."
32296,Foursquare,5,I will not stay here anymore. It's the most boring hotel in Amsterdam.
32296,Foursquare,1,nice location and good price
32296,Foursquare,10,Nice hotel. Spacious rooms and friendly staff.. Totally worth the money!
32296,Foursquare,2,Nice and clean place. Great value for money!
32296,Foursquare,6,Nice and clean otel.
32296,Foursquare,3,"Rooms are OK, but some stuff (esp laundry) is WAY overpriced and DO NOT get a room on the ground floor... It may well open onto the courtyard."
32296,Foursquare,2,"Btw: Don't book here. Dirty rooms, incompetent staff, overprized!"
32296,Foursquare,5,"very little rooms, but helpful and kind staff"
32296,Foursquare,3,"Incomparable central location! This is a top ranked hotel in Amsterdam where budget accommodation means great location, service and cleanliness. Check out what our customers say about it!"
32296,Foursquare,3,Don't bother coming here. It's a proper mong hotel.
32298,Foursquare,8,"This urban extension was the largest and most homogeneous of its time. It was a model of large-scale town planning, and served as a reference throughout the world until the 19th century."
32333,Foursquare,7,For everybody who get's picked up under station RAI
32365,Foursquare,6,Nice view ; stylish and brand new..
32384,Foursquare,5,The staffs are friendly and nice ..
32384,Foursquare,1,Location is perfect!
32384,Foursquare,1,"Everything is old, and a bit noisy. but clean and and the staff are friendly.  Location is very good.  Close to everything."
32384,Foursquare,4,"It's a great spot to stay, at the heart of Amsterdam, in a 2 min walking distance to all desired traditional Amsterdam locations... Hotel is tiny but clean. Don't expect so much from breakfast..."
32384,Foursquare,2,The most complicated hotel in the world
32384,Foursquare,1,"Dirty,cold and old rooms with rude staff..doesnt worth the money except good location..a big disappointment.."
32384,Foursquare,4,"Nothing special, but a nice, basic hotel. Wi-Fi is useless in the mornings, when there are many people using it."
32384,Foursquare,10,Internet connection - Poor. On/Off
32384,Foursquare,10,Internet only works during the day.
32386,Foursquare,2,BARBARA WRÓTNA I LOVE LANVIN I LOVE FASHION I AM A MODEL MY TEL +48895345885
32386,Foursquare,1,"Great little hotel at the heart of Amsterdam. The rooms are kind of small, but equipped well with basic necessities. Internet was free and worked well.."
32386,Foursquare,7,KEEP THE CITY CLEAN IF YOUR VISITING !
32386,Foursquare,9,"Hotel with an amazingly central location. Maybe decor is a bit dated, but staff is nice, and you're right in the middle of everything."
32403,Foursquare,4,This is not a hotel for business also bad cleaning and left with half used soap!!
32403,Foursquare,10,"Very small rooms like cabins. Placed in center of red light district near coffeshops, bars, cafes and girls. In summer daytime on the street you will be in rush with a lot of people"
32403,Foursquare,8,Avoid all rooms! Never paid so much for such a bad hotel... :(
32403,Foursquare,9,"Very designed small room , but in the heart of Amsterdam!!!! Don t take the rooms in the top floor (4th)."
32403,Foursquare,4,Hotel is nice and clean but it is situated in the district with sexshops and coffee shops...
32403,Foursquare,9,Avoid rooms like 403 by the stairs as there are people stomping up and down them all night.
