category,id,lat,lng,location,name,subCategory,reviews,Cost
attraction,28331,52.352237,4.987965,Amsterdam,Diemerpark,Park,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28331,53
attraction,28335,52.356452,4.997056,Amsterdam,Polygoongracht,Pool,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28335,35
attraction,28336,52.353174,5.004712,Amsterdam,Jachthaven ijburg,Surf Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28336,18
attraction,28337,52.356383,4.996973,Amsterdam,Tuin Van Vrienden,Garden,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28337,55
attraction,28341,52.357249,4.995746,Amsterdam,Speeltuin Talbotstraat,Skydiving,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28341,20
attraction,28343,52.357778,4.992011,Amsterdam,iBurg,Island,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28343,15
attraction,28344,52.350179,5.005388,Amsterdam,Theo van Goghpark,Park,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28344,47
attraction,28345,52.355045,4.996358,Amsterdam,Marc's Place,Beer Garden,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28345,47
attraction,28347,52.355692,4.994743,Amsterdam,Rondje IJburg,Athletics  Sports,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28347,59
attraction,28348,52.356342,4.994536,Amsterdam,2013,Arcade,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28348,15
attraction,28353,52.35313,4.996105,Amsterdam,Glijbaan Egelkopstraat,Skydiving,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28353,25
attraction,28354,52.359097,4.993515,Amsterdam,Speeltuin Dageurrestraat,Skydiving,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28354,51
attraction,28355,52.355838,4.979512,Amsterdam,AHC IJburg (hockeyclub),Field,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28355,55
attraction,28356,52.353571,4.999613,Amsterdam,Sem Presserhof Speeltuin,Skydiving,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28356,28
attraction,28357,52.351168,5.00542,Amsterdam,IJpark,Park,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28357,54
attraction,28359,52.353161,5.005661,Amsterdam,Haven IJburg,Harbor  Marina,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28359,52
attraction,28360,52.353834,5.006561,Amsterdam,Amsterdam Dance Centre IJburg,Dance Studio,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28360,22
