id,source,rating,text
28330,Foursquare,7,The so called goldcoast from IJburg. Expensive houses. But like everywhere enough space to swim and sail. And ... when it is freezing enough skate.
28330,Foursquare,6,"An island 10 minutes from the center of Amsterdam. Everywhere water for a swim, sail."
28332,Foursquare,4,When nice weather be here and sit down. Your feet in the cold water feels very relaxt.
28339,Foursquare,5,Sont open The Doors or Windows otherwise The place will be full of spiders!!!
28339,Foursquare,2,Home!!!!!!
28340,Foursquare,5,You can swim here too.
28340,Foursquare,5,"IJburg is the place to be. Much water for a swim,sail,sup,surf and much more..."
28375,Foursquare,10,Nice place to go rollerskating or longboarding.. Verry good asphalt road!
28388,Foursquare,5,"New location, Bok, Murphy's Stout, Guinness on tap, 500 Scottish whisky's, bottled beer, full wine list, great coffe and patio with view over the water."
28388,Foursquare,7,Try a whisky!
28388,Foursquare,1,"Beautiful Private Bar on a houseboat, entrance by invitation only."
28440,Foursquare,6,Best off the best! You never want To go home!
28511,Foursquare,2,"Shop Open mo, we, th, fri, sat from 900h-1800h. Sunday 1300h-1700h. Closed on tuesday."
28514,Foursquare,8,PlayReal is perfect space for organizations that care about power of a place and amazing and fun processes for co-creativity
28514,Foursquare,0,Summer holidays mini camps for kids are great. You can also rent the place for your events.
28562,Foursquare,6,Try the veal and don't forget to tip your waiter.
28570,Foursquare,4,"A great new brewery where you can enjoy several different beers together with a lunch, diner or just a snack."
28598,Foursquare,3,Free cookies every 3rd check in!
28598,Foursquare,9,Cool!!!!!!!
28610,Foursquare,7,"Was nice,  pity that the climbing feature was molested.... :-("
28702,Foursquare,8,"Its a tennisclub for oldies, dont go here ! :)"
28704,Foursquare,5,Parking is free of charge
28704,Foursquare,10,Book lessons with Bob SteinbacherTel: +31642314560Email: stb.golf@zonnet.nl
28704,Foursquare,1,Driving range card is available in the bar upstairs. Non-members pay € 10. The balls machine is downstairs in the shed on the right-hand-side.
28705,Foursquare,8,Nice games!)
28711,Foursquare,2,"Rooftop Chillin' with Funky Vibes, Fancy Drinks & Flashy Bites..."
28712,Foursquare,9,Broodje bal is top
28721,Foursquare,1,"Brilliant place to stay. Comfortable,  clean, free Wi-Fi and very much affordable"
28721,Foursquare,7,"Has a free wifi, without special password..."
28758,Foursquare,0,"Wanna feel great and being part of a family, then sign up at Amsterdam chapter"
28765,Foursquare,4,Try the ping pong buffet!
28789,Foursquare,9,"Free wifi internet, ssid FREE-HOTSPOT-FRAME no password. - by 4sqwifi.com"
28792,Foursquare,4,Find as much rabbits as possible!
28794,Foursquare,2,Not a very nice cafe. A lot of noice nuisance.
28800,Foursquare,8,Easy en quite drinking place.Eating is possible too.
28827,Foursquare,2,"Watch out, fellow vegetarians! You will not be able to eat here. No vega food. At all."
28834,Foursquare,10,This tunnel is the best. It even blocks your ears. Unique experience.
28834,Foursquare,6,The tunnel has GPRS!
28844,Foursquare,6,Best pool but not clean
28844,Foursquare,4,Best pool in town but dirty
28844,Foursquare,9,VERY WARM INSIDE! Jump in the water to cool off!
28844,Foursquare,1,"Best pool of the city, especially the 50 meters,"
28844,Foursquare,3,Watch the rabbits in the park from the pool side.
28865,Foursquare,6,Whenever I travel (by bike) from Amstelveen to Sloten (Amsterdam) I take this route via the forest and the cycling tracks... the lungs of Amsterdam. Avoid at night.
28870,Foursquare,9,The place to be for some console gaming
28874,Foursquare,8,Also known as the acid (LSD) rabbit
28875,Foursquare,10,great food and drinks! nice view at the garden. service real bad though...
28884,Foursquare,10,In summer naked beaching and gay cruising ... dont litter and clean up behind you
28903,Foursquare,4,"The warehouse of the largest speciality beer importer of The Netherlands, as well as their offices. Come shake hands with Rick Kempen and try a craft beer!"
28909,Foursquare,5,David Guetta tonight in the Sand
28909,Foursquare,6,Nice cocktails and mixes and a cute flairtender
28909,Foursquare,3,Saturday 28-01-12 'Murat Boz' @The Sand Amsterdam! Buy your tickets now at SeeDance 0900-1353 (45cpm) and Free Record Shop!
28909,Foursquare,3,Friday 27-01-12 16+ event @The Sand Amsterdam!
28909,Foursquare,5,"Saturday 31-12 'BEAUTIFUL PEOPLE NYE 2011'. With DJ's Dennis Ferrer, Erick E, Gregor Salto, Shermanology, Lucien Foort, Michael Mendoza, Carita la Niña, D-Rashid, Mitchell Niemeyer, Issy and more.."
28909,Foursquare,8,"Friday 30-12 'BMS' ft Ciara! Buy your tickets now at www.blackmusicspecial.nl, SeeDance 0900-1353 (45cpm) and Free Record Shop."
28909,Foursquare,10,Sunday 25-12 'Hindi Glam X-mass edition' @The Sand Amsterdam! Buy your tickets now at www.seedance.nl or Free Record Shop!
28909,Foursquare,1,"Saturday 24-12 @The Sand Amsterdam 'Gossip!' Tickets true the menu at www.thesand.nl, www.seedance.nl or Free Record Shop!"
28909,Foursquare,4,Friday 23-12 'Delicious XXL'@The Sand Amsterdam! With DJ's: Gregor Salto Quintino Vato Gonzalez Kenneth G Delivio Reavon&Aaron Gill Sem Vox Mitchell Niemeyer Artistic Raw Mc VI! Buy your tickets now!
28909,Foursquare,2,Saturday 17-12 'Musiq Soulchild' @The Sand Amsterdam! Tickets through www.seedance.nl or www.thesand.nl
28909,Foursquare,6,Friday 16-12 'Black Music Special' @The Sand Amsterdam with Jay Sean! Tickets: SeeDance 0900-1353 (45cpm) alle Free Record Shop vestigingen en online via www.blackmusicspecial.nl.
28909,Foursquare,5,"Saturday 12-11 @The Sand Amsterdam: 'Sila Live' with deejays: Volkan Saki, Rockwell S and B*rock! Buy your tickets now at www.ajda.nl or Free Record Shop!"
28909,Foursquare,8,"Saturday 03-12 @The Sand Amsterdam 'House Couture'! Dj's: Shermanology, Roog,Baggi Begovic, Afro Bro’s, Angelo Bustamente and Mr. Rootz!"
28909,Foursquare,9,Friday 02-12 @The Sand Amsterdam 'BMS' ft Keith Sweat & Blackstreet!
28909,Foursquare,10,"This friday 25-11 'I Love Su' @The Sand Amsterdam! D'j's: Orlando, The Freshmen, Mitchell Supreme, La Rouge, Zware Guys, One Man Show & more. Tickets www.seedance.nl, Free Record Shop"
28909,Foursquare,0,"Zaterdag 12-11 'Houseclassics' @The Sand Amsterdam! Met dj's Arne L, Jimmy the Sound, Deepack, Cold Fusion, Luna, Pavo, and more...Tickets verkrijgbaar op www.easyticket.nl"
28909,Foursquare,10,Check out Dirty Asian..
28909,Foursquare,6,"Cool events coming season; David Guetta, KISS, Gatecrasher, It's showtime and more..m"
28909,Foursquare,8,Wille Colon!!!
28913,Foursquare,9,This weekend @ The Sand Amsterdam: Friday 17-02-2012 Hindiglam ft. Ginuwine Saturday 18-02-2012 Hardclassics. Be there or be square! For more info check www.thesand.nl
28913,Foursquare,10,"Zaterdag 12-11 'Hardclassics' @The Sand Amsterdam. Met dj's Arne L, Jimmy the Sound, Deepack, Cold Fusion, Luna, Pavo and more... Koop je tickets nu via easyticket.nl"
28913,Foursquare,3,"Zaterdag 05-11 'House Rockers' met dj's ERICK E, QUINTINO, GREGOR SALTO, JAZ VON D, MICHAEL MENDOZA, DELIVIO REAVON & AARON GILL, MARC BENJAMIN! Koop nu je tickets via houserockers.nl of thesand.nl"
28915,Foursquare,9,Detroit Techno Militia first performed here 7 May 2012.
28915,Foursquare,4,100% techno music radio. Tune in on www.xt3radio.nl
28930,Foursquare,4,Have a small shop and if you wanna do your grocery you can stop by  the supermarket Albert Heijn or the little markets around the neighborhoods.
28930,Foursquare,8,Free WiFi internet available in the entire neighborhood using Fon. Find free WiFi near you and get 4sqwifi app for iOS in the appstore. Don't worry: the app is free as well! ;)
28930,Foursquare,8,Try the Ada Lunch Restaurant for a nice meal while sitting at their water front terrace.
28930,Foursquare,10,The market on sundays is great
28931,Foursquare,1,Cheers! Soon I`ll escape from that shit country!!!
28942,Foursquare,9,I just went to shoot but I ended up having fun as well and getting powder all over myself! Loved it!
28956,Foursquare,10,Shit Boulevard ;-)
28958,Foursquare,3,one of the classic gaycruise areas ..... just be careful and clean up behind you .....
28985,Foursquare,8,avoid coffee from the machines. terrible.
28985,Foursquare,9,VrijMiBo! Invite only ;)
28985,Foursquare,3,Drink coffee from the machines
28985,Foursquare,1,Do not drink the coffee from the machines.
28985,Foursquare,3,Go to Health Centre @ TMG and enjoy a good workout!
29002,Foursquare,6,Glow with the flow
29014,Foursquare,2,Brilliant view across the Sloterplas on a sunny evening.
29014,Foursquare,5,Absolutely horrible!!!! Disgusting coffee and no service. Don't come here
29023,Foursquare,6,Now you're @ Sierplein you should try the small Turkish shop. Open every day from 8-20hrs and very friendly owners.
29032,Foursquare,1,"Great bar, nice costumers!"
29037,Foursquare,10,Not open to the public only by invitation ;-)
29040,Foursquare,3,best outdoor gay cruising area..... full to light action.... clean up the mess behind you.....
29045,Foursquare,6,"Try the old-fashioned, it's the best you can get in the Sloterdijk-area."
29067,Foursquare,4,Try the smoothie! It's great fresh homemade and very healthy. Plus they're big! Good deal!
29067,Foursquare,4,The Mayor gets a free drink on Friday
29067,Foursquare,7,De Amsterdamsche Tram rewards your loyalty! Check in 4 times in 14 days and get a free smoothy with your lunch!
29067,Foursquare,1,Coffee beans are good but the machine is not fully tuned IMHO. Espresso is weak and flavorless.
29073,Foursquare,8,"Beer after climbing, the best combo ever."
29073,Foursquare,8,Climb and then Duvel....
29073,Foursquare,1,"Take a lead climbing training, then have a Kriek."
29077,Foursquare,7,Timo's favourite field to play
29082,Foursquare,5,Nice public pitch
29084,Foursquare,5,Best radiostation in the whole wide world :)
29088,Foursquare,8,"Every Wednesday and Saturday, Theo works behind the bar. He's the best bartender in Amsterdam, period."
29091,Foursquare,2,"Free entry, although there is a donation 'bucket' by the entry/exit gate. They have chickens, horses, goats, cows, rabbits, pigs and a peacock! Nice cafe to break up a Rembrantpark stroll."
29096,Foursquare,9,The swings are great!
29114,Foursquare,2,"Interacting with a big audience, using television to attract a crowd and following through with an online platform"
29114,Foursquare,2,Curious about the future of the media landscape and interactive crossmedia concepts? Come on up to the 5th floor. We'll grab a coffee here at Advance Interactive and I'll tell you all about it.
29122,Foursquare,3,"Booking agency for Dj s like Armin van Buuren, markuz Schultz , sunnery James en Ryan marciamo and more"
29127,Foursquare,7,"Every Saturday 10am Amsterdam time, the best golden oldies and hits with DJ Lana Wolf at KX Radio. Every Thursday 2pm, a hilariuos show with DJ's Lana, Siebelink and Stenders! Tune in!"
29127,Foursquare,1,"Every Saturday 10am Amsterdam time, the best golden oldies and hits with DJ Lana Wolf at KX Radio. Every Thursday 2pm, a hilariuos show with DJ's Lana, Siebelink and Stenders! Tune in!"
29204,Foursquare,3,"Clean, friendly place offering relax yoga, power yoga and meditation. € 10 for a guest lesson, € 30 for 5 introduction lesson, € 85 for 10 lessons (3 months), € 150 for 20 lessons (3 months)."
29207,Foursquare,10,Try anything. Especially the snickers bars.
29207,Foursquare,0,Such friendly staff:)
29210,Foursquare,2,French fries at the 10th floor... Just great
29210,Foursquare,9,Elegant cozy place with a super cool top view of the city :) its a font miss
29210,Foursquare,0,Try the pornstar martini
29210,Foursquare,5,Never rent a meeting room in the hotel! Terrible service for a ridiculously high price.
29210,Foursquare,9,"The hotspot for an evening out in style! Experience the stylish, very chic & cosmopolitan atmosphere of SKYY Bar Amsterdam."
29210,Foursquare,7,The housewine is not so bad at all. Good value for money (€20)
29210,Foursquare,3,Describe what you see…http://www.singlesq.com
29210,Foursquare,0,Ask for a Vodka Martini made with Ketel One vodka.
29210,Foursquare,10,Nice relaxed vibe and good cocktails. Oh and a nice view too.
29221,Foursquare,1,"get a halfround chocolate cake! or something else at the paistry baker. Or get great service and great looks at the optrician !! wine shop gives good advise and has lots of ,,spirits' too."
29233,Foursquare,5,Best crib in town!
29233,Foursquare,2,Ignore Mike when he's only wearing his boxershort and Ugg's! ;-)
29239,Foursquare,1,Coolest place on the ring of Amsterdam to take a leak...
29282,Foursquare,4,"nr1 Dance school in The Netherlands, professional HipHop, Streetdance, Jazz"
29291,Foursquare,4,Try to jump to the tree next to the balcony to make you way down James Bond style.
29299,Foursquare,7,Try their home brewed beer named Bolobier !
29299,Foursquare,0,"Nice local haunt, decent foreign and microbrewery beers, wee terrace in the summer. Friendly service."
29299,Foursquare,9,Unexpected but the best coffee of Bos en Lommer !
29299,Foursquare,4,Five bears on draft and over thirty On bottle. Ask for the specials or beer of the month
29299,Foursquare,3,Five beers on tap and over thirty beers on bottle. Ask for the specials !
29299,Foursquare,7,"Follow one of the barkeeps here, Agnes, on Twitter. Her twittername is @langeaggie."
29313,Foursquare,5,Best bar crew in town!
29313,Foursquare,1,"Cafe Sportpark is a great bar with a great terrace on sunny days. The cafe shows a lot of sports on big screen Tv and has room for playing darts, biljarts and a lot of boardgames."
29313,Foursquare,6,Top terras!
29324,Foursquare,10,Good place and music! ty the dutch meatballs
29324,Foursquare,0,Nice place but service sucks.
29324,Foursquare,0,"Really nice bar to have a relaxing chat with friends. They have gas heaters, so it's possible to sit outside in chilly nights."
29324,Foursquare,7,Langoustine soup ; the best I've ever had.
29324,Foursquare,0,Try a Vedett beer. Great taste!
29324,Foursquare,5,Very loooow service!!! Autumn salad - nothing special. Price/quality imbalanced
29324,Foursquare,0,Free WiFi Internet available!! Password: rendieren ------ 4sqwifi.com
29324,Foursquare,0,"Okay, so they water down the OJ here. Sad."
29324,Foursquare,1,"Bad service, normal food. A place like any others. No remarcable."
