category,id,lat,lng,location,name,subCategory,reviews,Cost
restaurant,26153,52.35406087,4.997835395,Amsterdam,Mchi,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26153,123
restaurant,26155,52.35292462,5.003392696,Amsterdam,NAP Amsterdam,Diner,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26155,182
restaurant,26156,52.35508382,4.994975924,Amsterdam,Drum'z,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26156,112
restaurant,26157,52.356428,4.996947,Amsterdam,Koffie met een zoetje,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26157,105
restaurant,26159,52.35202027,5.001600981,Amsterdam,Espressofabriek IJburg,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26159,131
restaurant,26160,52.35372663,5.006233,Amsterdam,The Lighthouse Harbour Club IJburg,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26160,120
restaurant,26162,52.35829543,4.99022519,Amsterdam,Vinny's Bakery,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26162,122
restaurant,26164,52.353241,4.999116,Amsterdam,Family Snackbar,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26164,111
restaurant,26166,52.35885306,4.990671239,Amsterdam,Gill's Fastfood,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26166,141
restaurant,26169,52.355823,4.994867,Amsterdam,IJburg Blok4 BBQ,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26169,176
restaurant,26170,52.355687,4.999473909,Amsterdam,Ijssalon Het Ijsbonbonnetje@ Pampuslaan,Ice Cream Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26170,136
restaurant,26171,52.35584,4.99431,Amsterdam,IJverig,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26171,199
restaurant,26174,52.35293859,5.005157342,Amsterdam,Restaurant Zen,Japanese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26174,133
restaurant,26175,52.35464554,4.996087161,Amsterdam,Mayshaan,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26175,197
restaurant,26176,52.354184,4.997325,Amsterdam,pizzeria IJburg,Pizza Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26176,177
restaurant,26177,52.355575,5.000836,Amsterdam,IJs & Zo,Ice Cream Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26177,116
restaurant,26178,52.35351181,4.995941162,Amsterdam,Sebsoft Hq,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26178,110
restaurant,26180,52.35162052,5.002427101,Amsterdam,De Keuken van Tante Til,Deli Bodega,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26180,123
restaurant,26181,52.35336977,4.996078267,Amsterdam,Ken&Har,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26181,173
restaurant,26182,52.35902342,4.990999704,Amsterdam,IJburg Culinair,Food Court,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26182,175
restaurant,26183,52.351692,5.002241,Amsterdam,Mesken,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26183,191
restaurant,26184,52.353167,4.999775,Amsterdam,L'inizio,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26184,146
restaurant,26185,52.352349,5.000007,Amsterdam,Peter's Kitchen,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26185,141
restaurant,26187,52.352499,5.000102,Amsterdam,Petersontbijtservice,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26187,188
restaurant,26192,52.35371619,5.00634185,Amsterdam,The Lighthouse,Diner,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26192,162
restaurant,26193,52.35163317,5.006575582,Amsterdam,Bakkerij Lia,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26193,163
restaurant,26194,52.35214479,5.007104874,Amsterdam,Ysburg,Ice Cream Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26194,169
restaurant,26196,52.35160742,5.007705688,Amsterdam,IJssalon IJburg,Ice Cream Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26196,119
restaurant,26197,52.350013,5.005046,Amsterdam,De Wijnlijst,Winery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26197,130
restaurant,26202,52.351532,5.00241,Amsterdam,Mesken ijburg,Diner,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26202,149
restaurant,26204,52.355887,4.994404,Amsterdam,Cabanaz,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26204,198
restaurant,26205,52.36000443,4.990189552,Amsterdam,Bilal,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26205,148
restaurant,26206,52.412496,4.753746,Amsterdam,The Haven Starbucs,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26206,117
restaurant,26207,52.41012421,4.752739179,Amsterdam,Koffie Bij De Buren,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26207,108
restaurant,26208,52.4124607,4.753972743,Amsterdam,Rsc amsterdam Store,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26208,158
restaurant,26209,52.4016976,4.7552822,Amsterdam,Gewoon Rene,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26209,200
restaurant,26222,52.37893004,4.761745206,Amsterdam,De Buurtwinkel,Vegetarian  Vegan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26222,180
restaurant,26249,52.35564861,4.772646829,Amsterdam,McDonald's,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26249,106
restaurant,26251,52.353825,4.775631,Amsterdam,Rob's BBQ Hoek,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26251,175
restaurant,26252,52.39132913,4.779598945,Amsterdam,Jemoederonline.nl,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26252,165
restaurant,26254,52.38407947,4.783485789,Amsterdam,Huis,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26254,129
restaurant,26256,52.38241225,4.790962575,Amsterdam,Snackbar De Smulhoek,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26256,180
restaurant,26258,52.350923,4.784998,Amsterdam,poidude's,African Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26258,107
restaurant,26261,52.351218,4.779625,Amsterdam,Löft,Winery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26261,166
restaurant,26267,52.349462,4.785834,Amsterdam,Snackbar Julias,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26267,145
restaurant,26269,52.348662,4.785477,Amsterdam,theehuis osdorp,Tea Room,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26269,183
restaurant,26270,52.349979,4.788129,Amsterdam,Viskar Schilder,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26270,144
restaurant,26271,52.3908922,4.789886683,Amsterdam,speciciaalbakker Nol Bertam,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26271,160
restaurant,26272,52.39135,4.798422,Amsterdam,Bij Marjan,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26272,157
restaurant,26273,52.38208881,4.793473747,Amsterdam,Mc Donalds,Burger Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26273,160
restaurant,26276,52.35580936,4.786580193,Amsterdam,Royal City,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26276,157
restaurant,26277,52.35902757,4.788676555,Amsterdam,Slagerij C.J. van den Ban,Deli Bodega,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26277,169
restaurant,26278,52.35901927,4.788619766,Amsterdam,Bakkerij Hoeve,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26278,141
restaurant,26280,52.351539,4.791066,Amsterdam,Hollandse Gebakkraam Tuincentrum Osdorp,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26280,155
restaurant,26285,52.348359,4.789169,Amsterdam,Julia's Snacks & Grills,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26285,119
restaurant,26288,52.350878,4.794526,Amsterdam,Osdorpse Posse,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26288,185
restaurant,26290,52.42073,4.80149,Amsterdam,Foucault @slibtong bakken,Seafood Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26290,184
restaurant,26293,52.39967345,4.795301559,Amsterdam,Gewoon René,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26293,136
restaurant,26297,52.38236102,4.802506751,Amsterdam,Mega Bakkerij,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26297,185
restaurant,26298,52.38196706,4.797878833,Amsterdam,Pizzaria Dellamore,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26298,165
restaurant,26299,52.3824675,4.803796108,Amsterdam,Noodstop,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26299,195
restaurant,26303,52.376902,4.8006,Amsterdam,Türkiyem Firini,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26303,163
restaurant,26305,52.380132,4.803472,Amsterdam,Dutch Bakery,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26305,175
restaurant,26306,52.36232668,4.79497505,Amsterdam,Restaurant City West Remco,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26306,174
restaurant,26308,52.36296483,4.79522109,Amsterdam,Pyongyang Restaurant,Korean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26308,159
restaurant,26309,52.36394,4.796985,Amsterdam,Restaurant Toros,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26309,178
restaurant,26311,52.36217438,4.794605935,Amsterdam,kamer van unis,Wings Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26311,172
restaurant,26312,52.36211292,4.794505079,Amsterdam,Banket Bakkerij Roetman,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26312,193
restaurant,26314,52.36257224,4.799347875,Amsterdam,Little Dragon,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26314,180
restaurant,26316,52.362129,4.800549,Amsterdam,Osdorp Bakkerij,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26316,176
restaurant,26318,52.35806852,4.80019927,Amsterdam,Ken-Ichi,Sushi Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26318,172
restaurant,26319,52.3580932,4.800336,Amsterdam,FEBO,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26319,105
restaurant,26320,52.35154391,4.796479696,Amsterdam,Baklava Simit Plaza,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26320,109
restaurant,26322,52.35527561,4.796919392,Amsterdam,Marokkaanse bakkerij osdorp,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26322,126
restaurant,26323,52.35132213,4.796371357,Amsterdam,Snackcity,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26323,143
restaurant,26324,52.35169871,4.798520221,Amsterdam,Leziz Restaurant,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26324,151
restaurant,26325,52.35848,4.800958,Amsterdam,Bertram & brood,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26325,164
restaurant,26326,52.36249723,4.801762495,Amsterdam,Kwun Wah,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26326,126
restaurant,26329,52.35281883,4.798201377,Amsterdam,Pete's sateh-BBQ,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26329,125
restaurant,26330,52.356664,4.797728,Amsterdam,De Wachter,Tea Room,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26330,174
restaurant,26331,52.358124,4.800642,Amsterdam,Peninsula,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26331,148
restaurant,26332,52.35165557,4.79749113,Amsterdam,Snack City,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26332,114
restaurant,26333,52.358317,4.801074,Amsterdam,Poco - tussen Meer Snacks,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26333,160
restaurant,26334,52.358336,4.800755,Amsterdam,Lunchroom Tussenmeer,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26334,160
restaurant,26335,52.3584605,4.801032,Amsterdam,Multi-Vlaai,Cupcake Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26335,153
restaurant,26336,52.35176982,4.798671611,Amsterdam,Leziz Restaurant,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26336,126
restaurant,26337,52.35177996,4.798943774,Amsterdam,Cafetaria Eethuis Family,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26337,164
restaurant,26340,52.348078,4.796457,Amsterdam,Sylke's crib in the ghetto,Winery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26340,138
restaurant,26346,52.3979187,4.805255413,Amsterdam,kweker,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26346,154
restaurant,26349,52.382472,4.805768,Amsterdam,Snackbar de Noodstop,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26349,105
restaurant,26350,52.376804,4.804186,Amsterdam,BAB EL BARAKA,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26350,109
restaurant,26351,52.377218,4.805909,Amsterdam,Yellow Bone Crib Yani,African Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26351,139
restaurant,26353,52.37508064,4.806414165,Amsterdam,Il Sardo,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26353,137
restaurant,26354,52.36291,4.801444,Amsterdam,Cesme warme bakker,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26354,109
restaurant,26355,52.363538,4.801309,Amsterdam,Amsterdam cafe,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26355,112
restaurant,26356,52.3649559,4.804627895,Amsterdam,Grieks Restaurant Rhodos,Greek Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26356,159
restaurant,26357,52.35965347,4.806384563,Amsterdam,Smaakboulevard,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26357,184
restaurant,26358,52.3600812,4.805061848,Amsterdam,Maccie osdorp,Burger Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26358,111
restaurant,26361,52.35921508,4.805267632,Amsterdam,Lunchroom Osdorp,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26361,152
restaurant,26362,52.35901164,4.804249722,Amsterdam,Het Warme Notengilde,Deli Bodega,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26362,122
restaurant,26364,52.3599922,4.80796817,Amsterdam,Canton,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26364,175
restaurant,26366,52.36019368,4.808060213,Amsterdam,Chinees Specialiteiten Restaurant Canton,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26366,120
restaurant,26367,52.359151,4.805999,Amsterdam,Asian Delight,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26367,200
restaurant,26368,52.35931222,4.805012338,Amsterdam,King Kumpir,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26368,130
restaurant,26369,52.35872625,4.80474293,Amsterdam,Poffertjeskraam,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26369,145
restaurant,26370,52.35944154,4.807279312,Amsterdam,Chicken Wings,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26370,147
restaurant,26371,52.36029146,4.807577953,Amsterdam,Sensemilla,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26371,154
restaurant,26372,52.347651,4.805675,Amsterdam,Dazur,Seafood Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26372,165
restaurant,26373,52.3537847,4.8047602,Amsterdam,Flavours of singapore,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26373,153
restaurant,26374,52.35812023,4.80536962,Amsterdam,Bakkerij Turkiyem,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26374,114
restaurant,26375,52.35908369,4.805177,Amsterdam,King :: Osdorpplein 677,Vegetarian  Vegan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26375,147
restaurant,26376,52.35921049,4.806128,Amsterdam,Kismet :: Osdorpplein 671,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26376,146
restaurant,26381,52.342399,4.802328,Amsterdam,Holland House Sloten,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26381,106
restaurant,26383,52.345573,4.81105,Amsterdam,Gebakkraam Belgieplein,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26383,116
restaurant,26384,52.34687,4.805122,Amsterdam,John salomons nature shop,Vegetarian  Vegan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26384,128
restaurant,26385,52.343418,4.810205,Amsterdam,Qoq,BBQ Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26385,120
restaurant,26386,52.34555173,4.811217785,Amsterdam,Gil's snackbar,Burger Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26386,200
restaurant,26389,52.40179044,4.817913693,Amsterdam,Kantine steinweg,Cafeteria,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26389,145
restaurant,26390,52.392048,4.818134,Amsterdam,Snackbar Lunchroom René,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26390,164
restaurant,26391,52.38176181,4.820718398,Amsterdam,Makara Amsterdam,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26391,105
restaurant,26392,52.38105492,4.820296711,Amsterdam,Makara Amsterdam,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26392,166
restaurant,26393,52.3773828,4.812884349,Amsterdam,Buddy Grillbar Snackbar,Burger Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26393,110
restaurant,26394,52.37729484,4.81267502,Amsterdam,New York Pizza Company,Pizza Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26394,113
restaurant,26397,52.3807077,4.820165634,Amsterdam,Şerifoğlu Gaziantep Baklavacısı,Dessert Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26397,191
restaurant,26398,52.3773828,4.813926883,Amsterdam,La Place Express,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26398,155
restaurant,26399,52.375859,4.811812,Amsterdam,de Watersnip,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26399,180
restaurant,26400,52.37513754,4.818679828,Amsterdam,De Rotonde kebab lunchroom,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26400,165
restaurant,26401,52.37722911,4.817444008,Amsterdam,Snackbar,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26401,131
restaurant,26402,52.35418908,4.810167477,Amsterdam,Enfes,Vegetarian  Vegan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26402,175
restaurant,26403,52.35423256,4.810198348,Amsterdam,New York Pizza,Pizza Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26403,146
restaurant,26404,52.35431554,4.810711893,Amsterdam,Toko Bandung,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26404,160
restaurant,26405,52.35448768,4.81227979,Amsterdam,Snackbar 88,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26405,141
restaurant,26406,52.35472107,4.810110092,Amsterdam,De bakkerswinkel,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26406,136
restaurant,26407,52.35700262,4.815556412,Amsterdam,Grandcafe Sloterplas,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26407,187
restaurant,26408,52.345333,4.811214,Amsterdam,Gill's Fastfood,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26408,133
restaurant,26409,52.34550995,4.81202272,Amsterdam,hulleman Bakkerij,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26409,151
restaurant,26411,52.34544696,4.811778782,Amsterdam,Bakkerij Oranje,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26411,124
restaurant,26412,52.3455,4.811941059,Amsterdam,Keurslager Nieuw-Sloten,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26412,131
restaurant,26414,52.34281562,4.812018192,Amsterdam,Troostwijk Bedrijfsrestaurant,Cafeteria,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26414,117
restaurant,26415,52.33516076,4.806963893,Amsterdam,Meerzicht,French Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26415,122
restaurant,26416,52.343833,4.816163,Amsterdam,Haringkar Hendriks,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26416,171
restaurant,26417,52.35197083,4.809153719,Amsterdam,Buma,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26417,153
restaurant,26418,52.35211833,4.809178333,Amsterdam,School debat,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26418,159
restaurant,26419,52.34800411,4.817537728,Amsterdam,Klaar met engels debat,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26419,155
restaurant,26420,52.354306,4.806161,Amsterdam,Net buiten schoolplein,Arepa Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26420,158
restaurant,26423,52.33274841,4.813121796,Amsterdam,Espresso bar Pronto,Cafeteria,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26423,155
restaurant,26425,52.32878394,4.816789978,Amsterdam,De Hot-spot,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26425,173
restaurant,26426,52.33742375,4.818159342,Amsterdam,Wild Bean Café - BP Oude Haagseweg,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26426,199
restaurant,26430,52.41771076,4.826691305,Amsterdam,Eethuisje Zaanse Veer,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26430,109
restaurant,26436,52.41466224,4.823857593,Amsterdam,De Amsterdamsche  Tram,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26436,175
restaurant,26437,52.393215,4.825595,Amsterdam,Kantine @sonneborn,Soup Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26437,103
restaurant,26438,52.38083085,4.820871225,Amsterdam,CoffeeMania Slotermeer,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26438,194
restaurant,26439,52.38117923,4.82093811,Amsterdam,Febo,Snack Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26439,181
restaurant,26440,52.38095635,4.823553631,Amsterdam,Cigköftem,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26440,166
restaurant,26441,52.38125406,4.821562743,Amsterdam,Bella Vita,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26441,109
restaurant,26443,52.38086979,4.82096225,Amsterdam,Döner Plaza,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26443,127
restaurant,26444,52.38360619,4.819391719,Amsterdam,wonder bar three,Diner,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26444,153
restaurant,26445,52.381288,4.823738,Amsterdam,Çiğköftem 2,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26445,165
restaurant,26448,52.38083868,4.820895195,Amsterdam,Osdorp Express Slotermeer,Moroccan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26448,153
restaurant,26450,52.38059163,4.822386503,Amsterdam,Asmin Pizza,Pizza Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26450,132
restaurant,26451,52.38050468,4.822107553,Amsterdam,Churros Mister U.S.A.,Spanish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26451,119
restaurant,26457,52.37991655,4.82120169,Amsterdam,"'t Praathuis, Snackkar op de markt",Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26457,102
restaurant,26458,52.38036346,4.820870399,Amsterdam,beyoğlu patisserie,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26458,116
restaurant,26459,52.379571,4.821998,Amsterdam,Vietnamese Loempia's,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26459,104
restaurant,26462,52.3791684,4.821002433,Amsterdam,Coffeemania,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26462,159
restaurant,26463,52.37271881,4.823617458,Amsterdam,Mokum aan zee,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26463,123
restaurant,26464,52.36086945,4.827050207,Amsterdam,Asian Taste Restaurant,Asian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26464,177
restaurant,26467,52.35764,4.80354,Amsterdam,Tim's nature food,Vegetarian  Vegan Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26467,180
restaurant,26468,52.35438855,4.811438639,Amsterdam,Wok Hut,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26468,163
restaurant,26469,52.354617,4.806928,Amsterdam,Erik op mijn fiets,Deli Bodega,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26469,160
restaurant,26470,52.3551481,4.825020133,Amsterdam,Food Truck,Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26470,115
restaurant,26475,52.3495731,4.827210901,Amsterdam,Kaminah,Caribbean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26475,186
restaurant,26476,52.34086908,4.829979992,Amsterdam,IBM Coffee Corner,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26476,138
restaurant,26477,52.34006117,4.822565511,Amsterdam,Coffee Company,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26477,102
