id,source,rating,text
26153,Foursquare,1,Don't miss the chance for a nice dinner here
26153,Foursquare,1,Loved the Korean melon ice cream stick for dessert. Fun menu and good atmosphere. Kid friendly.
26153,Foursquare,4,"Close your eyes and travel through Asia in one night! Great taste, nice snelle AMD good atmosphere!"
26153,Foursquare,7,My son loves the loempia's
26153,Foursquare,9,Liked the saté kambing!  Thai salad also nomnomnom..However rice as a sidedish for 5 euro is a bit overdoing it!
26153,Foursquare,10,Crunchy inktvis en sezchuan king crab...Jummy!
26155,Foursquare,5,Great Surf & Turf :)
26155,Foursquare,1,"Great food & staff! Try seasonal dishes, always a pleasant surprise!"
26155,Foursquare,6,Nice lunch.  They have life jackets for kids who play near the water. Customer friendly!
26155,Foursquare,10,"Great people, great service. Best come for morning coffee on a sunny day: fab view across the marina and lake beyond."
26155,Foursquare,7,Try the zero red wine
26155,Foursquare,2,"NAP is super relaxed, at the harbour of IJburg. Nice menu, good prices and a friendly staff."
26159,Foursquare,3,"One of my fav place in Ijburg, would even be better if the service was a notch higher.........."
26159,Foursquare,10,Among the best coffees I have had in Amsterdam
26159,Foursquare,2,"Try the filter ... underrated, but definitely worth a try ... great flavours"
26159,Foursquare,2,Best coffee in town.
26159,Foursquare,10,Best coffee in town!
26159,Foursquare,9,Try the new house blend 4.2.1 superb!
26159,Foursquare,2,Latte Macchiato double shot. Perfect!
26159,Foursquare,9,"Soon als offering Aeropress, P60 and other brew styles."
26159,Foursquare,7,Free wifi internet available.. Just ask for the code at the counter ;)
26159,Foursquare,1,Wow amazing blueberry muffins
26159,Foursquare,8,Take the 2-hour Barista course in the evening.
26159,Foursquare,10,take The cinnamon spicy latte
26160,Foursquare,1,"They have 16 wines per glas, try the pouilly fume."
26174,Foursquare,10,Come hungry! 5 rounds of 5 options per person. Sushi was delicious and fresh!
26174,Foursquare,9,The grilled squid is juicy and tasty! Try it.
26178,Foursquare,5,The red wine is great
26183,Foursquare,2,Half the menu is not available.
26183,Foursquare,8,Nice sidewalk terrace
26184,Foursquare,7,Good real Italian food (kids welcome)
26249,Foursquare,1,"Don't expect your 'fast'food to be fast before 9AM, it takes over 15 minutes to prepare a simple order of 2 Egg McMuffins. #FAIL. (Luckily the cashiers are ever so friendly ;) )"
26249,Foursquare,7,Free wifi is slow.
26249,Foursquare,5,"Open since August 28, 2013 and already busy (the next day). Decent restaurant with drive-through. Free WiFi too!"
26258,Foursquare,6,Very nice choice of wines! Don't forget to try out the pancakes :)
26258,Foursquare,2,"Try the strawberry tart, it's delicious"
26297,Foursquare,5,fresh warm bread
26298,Foursquare,9,. when i say good its  very good..
26298,Foursquare,5,it's more turkish italiano but still yummy
26308,Foursquare,9,It's Pyongyang Restaurant with North Korean food
26318,Foursquare,2,"Awesome sushi restaurant, really hot wasabi! If you are in Amsterdam, you have to visit this place!!!"
26318,Foursquare,5,"Spicy Tuna Maki is a ""must have""!"
26318,Foursquare,9,Try the fried rice. It is perfect :-)
26324,Foursquare,5,"Very nice food, very nice...."
26336,Foursquare,4,Very nice family restaurant. Great Turkish food. Been there several times all of them enjoyed very much. For sure will go there again.
26336,Foursquare,9,Nice food:)
26337,Foursquare,5,"Mooi man, ze hebben hier raspatat. Ultimate classic."
26364,Foursquare,9,Excellent service with great food overseeing the Lake view! Highly recommended :)
26364,Foursquare,1,Try the Peking Duck! Exquise!
26364,Foursquare,4,Try the roast duck
26366,Foursquare,8,Nice food. But it rook a while...!
26371,Foursquare,6,Try the Jamaican stuff!
26397,Foursquare,2,Best Baklava in town! Many different Baklava inspired goodness also available! :D
26402,Foursquare,1,Go to Enfes and order the chicken doner bread. Delicious!
26402,Foursquare,2,Everythings good!! Enfes special is ERG good!
26438,Foursquare,4,CoffeeMania is a place to get nice hot steaming coffee on a cold winter morning! ;)
26438,Foursquare,8,CoffeeMania tailors to specific local needs and provides a platform for people to grow beyond their social limitations.
26438,Foursquare,2,"CoffeeMania stands for a place to bring the neighborhood together, especially in those areas where the more commercial alternatives won't invest."
26438,Foursquare,9,"Cheaper and less-commercial alternative to StarBucks & CoffeeCompany concept coffeestores. Limited menu but with some surprising choices, available apart from the common coffee-with-a-syrup offering.."
26438,Foursquare,1,"This venue at the ground floor of ""De Honingraat"" will be opening November 9, 2013."
26439,Foursquare,6,check your order before you left the febo! its the second time!
26439,Foursquare,1,"Product of the month September 2009: Chicken Croquettes, available at 1 Euro each."
26441,Foursquare,2,Free FON WiFi internet available in the front part of the restaurant (so choose seating wisely!!) -- 4sqWifi.com
26441,Foursquare,2,"One of the best places to eat around these parts, if you're looking for a non Maroccan venue. Pleasant atmosphere, good food and interior of Spring 2010 so fresh and modern style."
26441,Foursquare,7,Also try their Chicken di Casa.
26441,Foursquare,10,"Besides Italian food, they also have shoarma, steaks and burgers."
26443,Foursquare,8,Free wi-fi internet near the front and rear coming from outside.
26443,Foursquare,10,Try Kapsalon fur sure
26451,Foursquare,8,Free Wifi Internet SSID: Fon_Plein40-45 Password: none - via 4sqwifi.com
26457,Foursquare,4,wi-fi network: various starting with FON_ wi-fi password: use your Fon account - via 4sqwifi.com
26457,Foursquare,9,Clain your free WiFi internet here using Fon. Find free WiFi near you and get 4sqwifi app for iOS in the appstore. Don't worry: the app is free as well! ;)
26457,Foursquare,6,"Koffie 0,5 cent"
26464,Foursquare,9,wi-fi password: even vragen - via 4sqwifi.com
26477,Foursquare,7,"Just order the plain old cappuccino, it tastes great!!!"
26500,Foursquare,3,There is no wi-fi :( But the place is very nice!
26515,Foursquare,10,"Do yourself a massive favour and leave the centre of Amsterdam and visit this place. Perfectly cooked steak, great sides and awesome service and atmosphere. Very reasonably priced for the quality."
26551,Foursquare,9,If you want a great coffe. Go to Cafe Milla (only for Deloitters unfortunately).
26553,Foursquare,7,"brownie, dry and old, check the foodstock pls"
26553,Foursquare,2,Loads and loads of flies behind the counter - disgusting
26553,Foursquare,3,1432 is the code for the toilets!
26553,Foursquare,3,"Great bottle of cool water, it had just the right taste!"
26553,Foursquare,9,"No free wifi here, #fail :-("
26553,Foursquare,3,Bring your own coffe mug and get 25 cents off.
26553,Foursquare,4,Warning: usually closes around 7-8pm
26553,Foursquare,8,Coffee is bad. Better go to Julia next door. Illy espresso is wonderful! And cheaper
26553,Foursquare,4,Espresso Doppio bit expensive for not so strong Espresso mmmmm so better take normal coffee
26553,Foursquare,6,Try the normal coffee now it's the Christmas Blend nice soft and tasty
26553,Foursquare,5,"Try the kiosk location near the busses, fast and friendly"
26553,Foursquare,9,Toilet code has changed! It's now: C020Y
26553,Foursquare,3,You need a code to be able to use the WC!!
26553,Foursquare,9,"Starbucks, how could the store be named anything else? They are stars in squishing bucks out of you, 'cause the overpriced drinks are so effin' delicious you'll gladly pay it! Bring a payroll!"
26553,Foursquare,9,Cranberry White Mocha. DELISH!!
26553,Foursquare,3,STOP! If you want real coffee go to Julia's ... They have Italian Illy beans.
26553,Foursquare,2,"Try the Mocha Praline, it's delicious."
26553,Foursquare,5,I love the new toffee nut latte!
26553,Foursquare,6,Chai latte is back!!
26553,Foursquare,6,"Iced Crème Brûlée Macchiato velvety foam, and finished with a roasty, dark caramel drizzle, makes this a delicious smooth beverage to die for  this season."
26553,Foursquare,7,Aaaarrgh! They've run out of caramel drizzle...
26553,Foursquare,10,"I love it when the coffee's done!! Get the White Caffe Mocha with extra syrup, venti of course! Delish!!"
26553,Foursquare,8,"The caramel frappuccino, The coffee is bold but easy-drinking. The caramel lends a distinct buttery sweetness. The fluffy swirl of whipped cream adds just the right touch of decadence."
26553,Foursquare,5,Unlock de 'Fresh Brew' badge hier!
26553,Foursquare,2,"Aanrader: Doppio Longo, dubbele espresso met extra shot water"
26597,Foursquare,3,"Good food, nice to to go for lunch. Just relaxed."
