category,id,lat,lng,location,name,subCategory,reviews,Cost
poi,29136,52.342692,4.820444,Amsterdam,Herr Weyers Little Tank,Taxi,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29136,31
poi,29223,52.35633866,4.852609634,Amsterdam,Jacob Marisstraat,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29223,20
poi,29236,52.33892011,4.846853614,Amsterdam,Nieuwe Meersluis (Schinkelsluis),Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29236,27
poi,29393,52.390966,4.856706,Amsterdam,Super Dure Kantine,Taxi,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29393,45
poi,29640,52.36000798,4.885246754,Amsterdam,Onderdoorgang Rijksmuseum,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29640,19
poi,29727,52.39310978,4.886405468,Amsterdam,Houthavenveer naar NDSM-Terrein,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29727,29
poi,29760,52.37862442,4.885450322,Amsterdam,Westerstraat,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29760,44
poi,29875,52.39005869,4.891319275,Amsterdam,Strekdam Silodam,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29875,18
poi,30110,52.35948121,4.891538798,Amsterdam,Tramhalte Weteringcircuit,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30110,34
poi,30457,52.39164046,4.93491219,Amsterdam,Nieuwendammerdijk,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30457,21
poi,30462,52.372334,4.914209247,Amsterdam,VOC Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30462,37
poi,30804,52.37211456,4.947967529,Amsterdam,Scheepstimmermanstraat,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30804,43
poi,31046,52.35048023,5.004572868,Amsterdam,Tram 26 IJburg - Centraal Station,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31046,31
poi,31047,52.35535147,4.995696684,Amsterdam,Halte Diemerparklaan,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31047,30
poi,31048,52.35775401,4.990539551,Amsterdam,Tramhalte Vennepluimstraat,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31048,39
poi,31049,52.35293327,4.99979712,Amsterdam,Tram- en Bushalte Ruisrietstraat,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31049,44
poi,31050,52.35088654,5.004315376,Amsterdam,Tramhalte IJburg,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31050,23
poi,31051,52.35639287,4.996571987,Amsterdam,Erich Salomonstraat,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31051,22
poi,31053,52.35687256,4.995892525,Amsterdam,Bushalte Ruiserietstraat,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31053,45
poi,31058,52.357236,4.991208,Amsterdam,Bushalte Vennepluimstraat,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31058,20
poi,31061,52.35788067,4.990385941,Amsterdam,IJburglaan,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31061,35
poi,31062,52.358526,4.994276,Amsterdam,Boot Gijs,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31062,44
poi,31063,52.35470568,4.996873742,Amsterdam,Bushalte Diemerparklaan,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31063,40
poi,31065,52.355519,5.000999,Amsterdam,Lumierestraat,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31065,38
poi,31068,52.35137193,5.005839921,Amsterdam,Bus 66 IJburg - Bijlmer ArenA,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31068,23
poi,31071,52.353238,5.003428,Amsterdam,Veerdienst Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31071,31
poi,31072,52.354615,5.00539,Amsterdam,Sailboa,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31072,22
poi,31073,52.35318,5.003798,Amsterdam,Rainboa,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31073,18
poi,31074,52.35362624,5.005414419,Amsterdam,Bootje IJburg,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31074,18
poi,31076,52.35358244,5.005812993,Amsterdam,Titaan,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31076,36
poi,31080,52.362841,4.983404,Amsterdam,C'est La Vie,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31080,44
poi,31086,52.41747162,4.738154411,Amsterdam,S102,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31086,45
poi,31088,52.41549581,4.748868819,Amsterdam,Afrikahaven Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31088,38
poi,31089,52.429052,4.749932002,Amsterdam,Connexxion Water Karla,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31089,24
poi,31091,52.424632,4.762768,Amsterdam,MS Hanzestad,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31091,38
poi,31094,52.41587496,4.762144089,Amsterdam,acs logistics,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31094,22
poi,31095,52.406435,4.756748,Amsterdam,S102,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31095,23
poi,31096,52.40638009,4.757416859,Amsterdam,Start Van De Groene Golf,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31096,31
poi,31097,52.40227509,4.756487846,Amsterdam,Op Me Heftruck,Taxi,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31097,41
poi,31098,52.39810181,4.760986805,Amsterdam,Bushalte Oceaan Groep,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31098,40
poi,31100,52.423978,4.76636,Amsterdam,River Dream,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31100,39
poi,31102,52.418537,4.768916642,Amsterdam,Marpol 1,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31102,40
poi,31103,52.414576,4.768522,Amsterdam,Boot Helena,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31103,26
poi,31104,52.41416046,4.765899181,Amsterdam,Cacaohaven Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31104,25
poi,31105,52.4137,4.767471,Amsterdam,MPS Princess,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31105,25
poi,31106,52.40609939,4.762204409,Amsterdam,Bushalte Westpoortweg,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31106,18
poi,31107,52.407123,4.770158,Amsterdam,Tanker Willi's,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31107,44
poi,31109,52.40734103,4.778022766,Amsterdam,Graniet Import,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31109,20
poi,31110,52.39965908,4.771978029,Amsterdam,Pendelbus naar Sloterdijk,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31110,26
poi,31111,52.398441,4.770906,Amsterdam,Westpoortweg,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31111,33
poi,31112,52.39851129,4.771445152,Amsterdam,S102,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31112,36
poi,31113,52.39759759,4.778608431,Amsterdam,Bushalte Dortmuiden,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31113,22
poi,31114,52.39401279,4.778255271,Amsterdam,Toerit A5,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31114,35
poi,31115,52.39910126,4.778390884,Amsterdam,aziehavenweg,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31115,34
poi,31116,52.394642,4.778393,Amsterdam,Tanker Nina,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31116,19
poi,31119,52.38651782,4.76827458,Amsterdam,A5 richting Coentunnel,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31119,31
poi,31123,52.38390964,4.76122745,Amsterdam,Rijkeboerweg halfweg,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31123,21
poi,31124,52.38400539,4.769568883,Amsterdam,"File N200 HMP 4,5",Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31124,40
poi,31125,52.3842659,4.766372681,Amsterdam,Sprinter naar Haarlem,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31125,42
poi,31130,52.389334,4.777617,Amsterdam,Daveren,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31130,23
poi,31132,52.38404322,4.776899447,Amsterdam,Keihard Scheuren In Een Spiksplinter Nieuwe BMW,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31132,26
poi,31133,52.38404724,4.777710018,Amsterdam,N200,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31133,35
poi,31142,52.37161674,4.77596283,Amsterdam,Osdorperweg,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31142,41
poi,31150,52.35377651,4.774471521,Amsterdam,Tramlijn 1,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31150,45
poi,31152,52.35293827,4.7766919,Amsterdam,Tramhalte Pilatus,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31152,28
poi,31153,52.35375,4.774342,Amsterdam,Tramhalte Matterhorn,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31153,21
poi,31158,52.353059,4.771556,Amsterdam,Schotse Hooglanden,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31158,21
poi,31162,52.409284,4.783095,Amsterdam,Graniet Import,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31162,18
poi,31163,52.3918457,4.780892372,Amsterdam,Abberdaan Bushalte,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31163,41
poi,31164,52.38404424,4.779376348,Amsterdam,Haarlemmerweg,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31164,40
poi,31165,52.38965607,4.784018993,Amsterdam,UC Transports,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31165,28
poi,31166,52.384192,4.783406,Amsterdam,NS Boot Amsterdam-Haarlem,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31166,38
poi,31168,52.38218635,4.791035711,Amsterdam,bushalte jm den uylstraat,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31168,24
poi,31169,52.38243265,4.790947325,Amsterdam,Vliegveld Amsterdam-West,Airport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31169,41
poi,31171,52.350532,4.782556,Amsterdam,Tramhalte Nisserstraat,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31171,44
poi,31172,52.360452,4.783946,Amsterdam,West autoverhuur,Rental Car Location,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31172,41
poi,31173,52.35035969,4.783087979,Amsterdam,Tramhalte Inaristraat,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31173,45
poi,31175,52.35540058,4.786239719,Amsterdam,tramhalte osdorp dijkgraafplein,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31175,37
poi,31177,52.3559,4.78435,Amsterdam,E190 Simulator FSC,Plane,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31177,27
poi,31178,52.36215842,4.785042446,Amsterdam,The Brick near the TNT Post,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31178,40
poi,31180,52.351014,4.780674,Amsterdam,The Happy Hydrant,Taxi,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31180,30
poi,31182,52.3499,4.788668,Amsterdam,Tramhalte Ecuplein,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31182,41
poi,31198,52.426047,4.786202,Amsterdam,"Ship ""Somtrans IV""",Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31198,33
poi,31206,52.398754,4.790045,Amsterdam,Rookplatform@amsterdam sloterdijk,Train Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31206,36
poi,31208,52.392397,4.791901,Amsterdam,"Flying Finish KP 2-4-6 Abberdaan, Rallypro Amsterdam Shortrally",Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31208,40
poi,31209,52.390003,4.790648,Amsterdam,"Verzamelplek Officials Annex Start KP1-3-5 Abberdaan, Rallypro Amsterdam Shortrally",Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31209,30
poi,31210,52.39050148,4.7917194,Amsterdam,bushalte Jarmuiden,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31210,31
poi,31211,52.38013415,4.789421358,Amsterdam,Bushalte 21 Freule Wttewaalpad,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31211,38
poi,31212,52.36116746,4.788639138,Amsterdam,Bushalte Jan Rebelstraat,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31212,20
poi,31213,52.359192,4.788278,Amsterdam,"LangsH2O, Amsterdam",Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31213,29
poi,31214,52.35657596,4.791939106,Amsterdam,Tram 17 Osdorp - Amsterdam Centraal,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31214,42
poi,31215,52.356412,4.79163,Amsterdam,Halte Baden Powellweg,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31215,18
poi,31216,52.356559,4.791534,Amsterdam,Tramhalte Baden Powellweg,Light Rail,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31216,24
poi,31217,52.36223922,4.794048661,Amsterdam,Stef En Karen,Boat or Ferry,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31217,23
poi,31218,52.35842026,4.795252305,Amsterdam,Tussenmeer,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31218,40
poi,31219,52.35093897,4.794384241,Amsterdam,Bushalte Baden Powellweg,Bus Station,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31219,39
poi,31224,52.4038801,4.7992644,Amsterdam,Intercity Sloterdijk - Hoorn,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31224,26
poi,31225,52.39910262,4.794267342,Amsterdam,"Emplacementje Aziëhaven, Houtrakpolder (Hrp)",Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31225,41
poi,31226,52.402312,4.800449,Amsterdam,HUSA(acts) HQ-A'dam,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31226,33
poi,31228,52.39755283,4.795114421,Amsterdam,Bushalte Westpoortweg,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31228,29
poi,31230,52.395999,4.794798,Amsterdam,Halte Bornhout,Bus Line,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31230,36
poi,31231,52.396213,4.80065,Amsterdam,Bakerstreet Benelux :: Noordzeeweg 50,Road,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31231,37
poi,31232,52.39915132,4.803295942,Amsterdam,Trein Sloterdijk - Den Helder Zuid,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31232,25
poi,31233,52.38911438,4.803716183,Amsterdam,Halfweg,Train,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31233,19
