id,source,rating,text
29223,Foursquare,7,Most beautiful street in Amsterdam!! I might be bit biased because I live there
29236,Foursquare,4,"What a beautiful and quiet, well kept marina."
29640,Foursquare,2,"The tunnel provides an excellent shelter in the occasional incidence of rain. Given the unique location, there is a likelihood to meet a tourist here (especially during weekends and holiday periods)."
29640,Foursquare,7,"Whichever cycling passage you take into the city centre, this one saves you no less than 20 seconds! But beware of the tourists obstructing the way"
29640,Foursquare,5,Take a look at the inside of the museum. But watch out: tourists might be particularly inadvertent and step on your way!
29727,Foursquare,7,Ferry timetables:  http://m.9292.nl/amsterdam/halte-veer-tasmanstraat Take the right one.
29727,Foursquare,9,Who likes the dog?
29727,Foursquare,1,Between 645 & 23.45 each 20 min    Except Betw.10.15 & 15.45 each half hour
29727,Foursquare,2,Zin in een kop koffie en socializen? Kom langs bij Social Inc. - full service social media bureau! (TT Vasumweg 95 - KSM Pand)
29760,Foursquare,3,Make sure to bring your own toilet paper! And look left in the 'nis' great Amsterdam painting!
30110,Foursquare,3,Watch the disorientated Italian tourists ask you where the 'spooey' is (spui). You know they just want to find a coffee shop
30110,Foursquare,8,A lot of things to do here :3
30462,Foursquare,8,Watch your head!
30804,Foursquare,8,Best street in Amsterdam to live on.... Especially in summer.
31051,Foursquare,7,"There is a canal overthere where you can sup,sail and swim."
31071,Foursquare,1,"Catch the ferry here to Muiderslot, Vuurtoreneiland and Pampus"
31089,Foursquare,2,Limited space for parking of bikes. Bring some drinks for the wait with nice view over the water.
31308,Foursquare,3,Bus 69 to the Airport!
31321,Foursquare,10,The bus is never on time here..
31327,Foursquare,9,Look at the small yellow number in front of the tram (in front of the driver). The smallest number leaves first. (Told to me by the GVB)
31416,Foursquare,6,Need I say more ...
31426,Foursquare,6,Great to travel from zaandam to amsterdam its even free for pedestrians :D
31426,Foursquare,3,"Cars Pay € 1,15"
31426,Foursquare,6,"€1,50 for cars please pay with exact change"
31426,Foursquare,5,"The ferry is free for pedestrians and bikes, it runs every 20 minutes, 24/7"
31426,Foursquare,5,"It's free for pedestrians and bikes, motorbikes and cars have to pay a little: ferry runs 24/7"
31451,Foursquare,5,Free WiFi internet available in the entire neighborhood using Fon. Find free WiFi near you and get 4sqwifi app for iOS in the appstore. Don't worry: the app is free as well! ;)
31482,Foursquare,6,Go to Studio 7 days!!!
31556,Foursquare,3,"Watch your running when theres snow, *auch*"
31556,Foursquare,4,To Hoofddorp use trains leaving from platform 4; plenty of seats available
31591,Foursquare,2,The new train schedule has cut my reading time by 15 minutes
31608,Foursquare,10,"At night, you can see tons of bunnies feeding on the grass"
31641,Foursquare,2,"Go (back) to the awesome house of Roger, Jerry and Reinier!"
31641,Foursquare,10,"free parking, public transport connections"
31677,Foursquare,6,Message for pee..if you keep behave like an asshole on fsq..ill track you down and you be sorry..
31710,Foursquare,6,WiFi on board
31737,Foursquare,6,Tram is always either way too early or way too late...
31802,Foursquare,9,Try cafe Luim! Great atmosphere!
31804,Foursquare,6,Don't forget to check in after buying a ticket!
31840,Foursquare,3,"The stop on the Zeilstraat is middle of the road, so watch out!"
31862,Foursquare,6,Cheaper than the train!
31874,Foursquare,6,Use right lane on approach. Goes faster
31905,Foursquare,7,"""Don't forget to check out with your public transport chipcard!"""
31912,Foursquare,1,Try the great food at Lavanta Catering (you can buy and take home or eat there) The purple restaurant just across Albert H.
31912,Foursquare,4,Hup hup holland
31915,Foursquare,5,If you are so close to my home...come and say hello
31917,Foursquare,9,Perfect place to wait for public transport.
31986,Foursquare,7,Go to Westerpark for amazing terraces and a mellow vibe!
32002,Foursquare,2,"Curiousity fact. This is one of the two spots in amsterdam where you have a direct tram connection with 5 (!) train stations: cs, slotervaart, lelylaan, muiderpoort and amstel."
32106,Foursquare,4,Mary's house
32109,Foursquare,3,If u r in luck the drumband is playing on the 2nd floor of the flat.
32118,Foursquare,2,"Cafe Brandstof is on the corner of the Marnixstraat and Rozengracht, cool cafe!"
32119,Foursquare,8,Check out brandstof across the street cool cafe and great night spot
32131,Foursquare,2,It's a long street and Leonie is mayor(ess) of all of it!
32133,Foursquare,5,Centre of the Jordaan with statues of Dutch folk singers
32143,Foursquare,3,Look around!
32188,Foursquare,4,Brilliant bicycle parking for little money.
32194,Foursquare,3,First 24h are free of charge
32194,Foursquare,8,Lights broken or left at home? They sell them here.
32248,Foursquare,4,You gotta love the night view at the city over the water
32263,Foursquare,5,Have unlimited pancakes whilst boating around behind Central Station. You're probably too old for playing in the 'ballenbad' but you can try
32265,Foursquare,2,"Nice tram, brings you all the way to the Muiderpoort-ghetto"
32268,Foursquare,5,Dont be bothered to check The bus schedual they drive when they want to
32273,Foursquare,9,The best shopping street! Lots of small shops with special things you won't see jn the big shopping streets!
32273,Foursquare,7,Great shopping street!
32278,Foursquare,6,NewFoodFair - zaterdag 7 september 2013 www.caulils.com/newfoodfair
32285,Foursquare,8,"One of the 4 canals that constitute the Grachtengordel, a UNESCO-designated World Heritage Site."
32287,Foursquare,2,Enjoy the scenery of downtown Amsterdam when headed Eastward..
32287,Foursquare,4,Closest stop to Anne Frank House
32287,Foursquare,8,Walk 'de 9 straatjes'. A shopping and eating experience.
